Medium;Class;clickable_title;Value;Percentage
Jacobin;left;<a href='https://www.jacobin.de/artikel/fortschritt-walter-benjamin-linke-klima' target='_blank'>Kapitalistischer »Fortschritt« führt in die Katastrophe</a><br><a href='https://www.jacobin.de/artikel/elon-musk-donald-trump-usaid-entwicklungshilfe' target='_blank'>Entwicklungshilfe war schon immer ein Machtinstrument</a>;40.0;40.0%
Jacobin;center;<a href='https://www.jacobin.de/artikel/fortschritt-linke-zukunft-pessimismus' target='_blank'>Verteidigung des Fortschritts</a><br><a href='https://www.jacobin.de/artikel/merz-wirtschaft-arbeit-gewerkschaften-agenda2010-arbeitszeit-teilzeit-klassenkampf' target='_blank'>Nein, die Menschen in Deutschland arbeiten nicht zu wenig</a><br><a href='https://www.jacobin.de/artikel/ilan-pappe-gaza-israel-palaestina-die-vergessenen-palaestinenser' target='_blank'>»Palästinenser in Israel sind die einzigen, die eine Brücke schlagen können«</a>;60.0;60.0%
Junge Freiheit;center;<a href='https://jungefreiheit.de/politik/deutschland/2025/zahl-der-abschiebungen-steigt-auf-niedrigem-niveau/' target='_blank'>Zahl der Abschiebungen steigt – auf niedrigem Niveau</a><br><a href='https://jungefreiheit.de/politik/deutschland/2025/auch-in-remscheid-sticht-ein-kind-ein-anderes-nieder/' target='_blank'>Auch in Remscheid sticht ein Kind ein anderes nieder</a><br><a href='https://jungefreiheit.de/politik/deutschland/2025/merkel-gegen-zurueckweisungen-uns-wird-europa-kaputt-gemacht/' target='_blank'>Merkel gegen Zurückweisungen: „Uns wird Europa kaputt gemacht“</a><br><a href='https://jungefreiheit.de/politik/deutschland/2025/so-wollen-die-gruenen-afd-politikern-die-grundrechte-entziehen/' target='_blank'>So wollen die Grünen AfD-Politikern die Grundrechte entziehen</a><br><a href='https://jungefreiheit.de/politik/deutschland/2025/die-bezahlkarte-macht-immer-mehr-migranten-zu-fluechtlingen/' target='_blank'>Die Bezahlkarte macht immer mehr Migranten zu „Flüchtlingen“</a>;100.0;100.0%
Junge Welt;center;<a href='https://www.jungewelt.de/artikel/500878.urteile-im-vw-dieselgate-die-kleinen-h%C3%A4ngt-man.html' target='_blank'>Die Kleinen hängt man</a><br><a href='https://www.jungewelt.de/artikel/500874.donbass-solidarit%C3%A4t-terrorkeule-gegen-humanit%C3%A4re-helfer.html' target='_blank'>Terrorkeule gegen humanitäre Helfer</a><br><a href='https://www.jungewelt.de/artikel/500879.evg-gegen-werksschlie%C3%9Fungen-bahn-ohne-plan-und-personal.html' target='_blank'>Bahn ohne Plan und Personal</a><br><a href='https://www.jungewelt.de/artikel/500897.klassenkampf-im-hinterland-%C3%BCberall-ansetzen-auch-in-der-vermeintlichen-provinz.html' target='_blank'>»Überall ansetzen, auch in der vermeintlichen Provinz«</a><br><a href='https://www.jungewelt.de/artikel/500863.prekarisierung-studentischer-arbeit-wenn-alle-streiken-w%C3%A4re-es-still-an-der-uni.html' target='_blank'>»Wenn alle streiken, wäre es still an der Uni«</a>;100.0;100.0%
Tichys Einblick;left;<a href='https://www.tichyseinblick.de/tichys-einblick/merz-kabinett-politikwende/' target='_blank'>Vorhang auf! Das neue Berliner Theaterstück nimmt seinen Lauf</a><br><a href='https://www.tichyseinblick.de/tichys-einblick/afd-gutachten-demokratiefeindlicheit-verfasser/' target='_blank'>Das AfD-Gutachten ist ein Blick in den Spiegel – man sieht die Demokratiefeindlichkeit der Verfasser</a><br><a href='https://www.tichyseinblick.de/tichys-einblick/tichys-einblick-so-kommt-das-gedruckte-magazin-zu-ihnen/' target='_blank'>„Tichys Einblick“ – so kommt das gedruckte Magazin zu Ihnen</a><br><a href='https://www.tichyseinblick.de/tichys-einblick/karl-eduard-von-schnitzler-preis-an-correctiv/' target='_blank'>Der Karl-Eduard von Schnitzler-Preis 2024 für Propaganda und Manipulation geht an: „Correctiv“</a>;80.0;80.0%
Tichys Einblick;center;"<a href='https://www.tichyseinblick.de/tichys-einblick/messer-opfer-merz-gewalt/' target='_blank'>Das große Gemetzel auf den Straßen wird jetzt zum Fall Friedrich Merz
</a>";20.0;20.0%
nd;left;<a href='https://www.nd-aktuell.de/artikel/1191553.santa-cruz-del-islote-fischer-in-kolumbien-niemand-wird-alleinsssgelassen.html' target='_blank'>Fischer in Kolumbien: »Niemand wird allein­­­gelassen«</a><br><a href='https://www.nd-aktuell.de/artikel/1191554.inklusives-lernen-lehrer-verschieben-gern-die-verantwortung-auf-die-schueler.html' target='_blank'>»Lehrer verschieben gern die Verantwortung auf die Schüler«</a><br><a href='https://www.nd-aktuell.de/artikel/1191560.arbeitszeitdebatte-weniger-arbeit-mehr-wohlstand.html' target='_blank'>Weniger Arbeit, mehr Wohlstand?</a><br><a href='https://www.nd-aktuell.de/artikel/1191562.arbeitszeitdebatte-arbeitszeit-ist-lebenszeit.html' target='_blank'>Arbeitszeit ist Lebenszeit!</a>;80.0;80.0%
nd;center;<a href='https://www.nd-aktuell.de/artikel/1191561.thomas-fischer-treffsicherer-rechtsexperte.html' target='_blank'>Treffsicherer Rechtsexperte</a>;20.0;20.0%
tagesschau;left;<a href='https://www.tagesschau.de/inland/innenpolitik/koalitionsausschuss-maenner-frauen-100.html' target='_blank'>Viele Männer, große Ziele</a>;20.0;20.0%
tagesschau;center;"<a href='https://www.tagesschau.de/inland/innenpolitik/koalitionsausschuss-korri-100.html' target='_blank'>Regierung dringt auf ""Tempo, Tempo, Tempo""</a><br><a href='https://www.tagesschau.de/inland/innenpolitik/kabinett-beschluesse-migrationspolitik-drogenbeauftragter-100.html' target='_blank'>soll verschärft werden</a><br><a href='https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsausschuss-massnahmen-100.html' target='_blank'>Koalition will Wirtschaft mit ""Sofortprogramm"" stärken</a><br><a href='https://www.tagesschau.de/inland/innenpolitik/sofortprogramm-bundesregierung-102.html' target='_blank'>Welche Prioritäten die Regierung setzen will</a>";80.0;80.0%
taz;left;<a href='https://taz.de/Tagebuch-aus-der-Ukraine/!6090811/' target='_blank'>Tagebuch aus der Ukraine</a>;20.0;20.0%
taz;center;<a href='https://taz.de/-Nachrichten-im-Nahost-Krieg-/!6090894/' target='_blank'>Nachrichten im Nahost Krieg</a><br><a href='https://taz.de/US-Handelspolitik-unter-Donald-Trump/!6090884/' target='_blank'>Gericht stoppt Trump Zollpolitik</a><br><a href='https://taz.de/Klima-Urteil-des-OLG-Hamm/!6090901/' target='_blank'>Nur symbolisch wertvoll</a><br><a href='https://taz.de/Landwirtschaft-in-Westafrika/!6087174/' target='_blank'>Landwirtschaft in Westafrika: Nachwachsende Probleme</a>;80.0;80.0%
