title;link
Zahl der Abschiebungen steigt – auf niedrigem Niveau;https://jungefreiheit.de/politik/deutschland/2025/zahl-der-abschiebungen-steigt-auf-niedrigem-niveau/
Fischer in Kolumbien: »Niemand wird allein­­­gelassen«;https://www.nd-aktuell.de/artikel/1191553.santa-cruz-del-islote-fischer-in-kolumbien-niemand-wird-alleinsssgelassen.html
Die Kleinen hängt man;https://www.jungewelt.de/artikel/500878.urteile-im-vw-dieselgate-die-kleinen-h%C3%A4ngt-man.html
"Regierung dringt auf ""Tempo, Tempo, Tempo""";https://www.tagesschau.de/inland/innenpolitik/koalitionsausschuss-korri-100.html
Kapitalistischer »Fortschritt« führt in die Katastrophe;https://www.jacobin.de/artikel/fortschritt-walter-benjamin-linke-klima
Auch in Remscheid sticht ein Kind ein anderes nieder;https://jungefreiheit.de/politik/deutschland/2025/auch-in-remscheid-sticht-ein-kind-ein-anderes-nieder/
»Lehrer verschieben gern die Verantwortung auf die Schüler«;https://www.nd-aktuell.de/artikel/1191554.inklusives-lernen-lehrer-verschieben-gern-die-verantwortung-auf-die-schueler.html
Viele Männer, große Ziele;https://www.tagesschau.de/inland/innenpolitik/koalitionsausschuss-maenner-frauen-100.html
Terrorkeule gegen humanitäre Helfer;https://www.jungewelt.de/artikel/500874.donbass-solidarit%C3%A4t-terrorkeule-gegen-humanit%C3%A4re-helfer.html
Verteidigung des Fortschritts;https://www.jacobin.de/artikel/fortschritt-linke-zukunft-pessimismus
Merkel gegen Zurückweisungen: „Uns wird Europa kaputt gemacht“;https://jungefreiheit.de/politik/deutschland/2025/merkel-gegen-zurueckweisungen-uns-wird-europa-kaputt-gemacht/
Weniger Arbeit, mehr Wohlstand?;https://www.nd-aktuell.de/artikel/1191560.arbeitszeitdebatte-weniger-arbeit-mehr-wohlstand.html
Tagebuch aus der Ukraine;https://taz.de/Tagebuch-aus-der-Ukraine/!6090811/
soll verschärft werden;https://www.tagesschau.de/inland/innenpolitik/kabinett-beschluesse-migrationspolitik-drogenbeauftragter-100.html
Nachrichten im Nahost Krieg;https://taz.de/-Nachrichten-im-Nahost-Krieg-/!6090894/
Bahn ohne Plan und Personal;https://www.jungewelt.de/artikel/500879.evg-gegen-werksschlie%C3%9Fungen-bahn-ohne-plan-und-personal.html
Entwicklungshilfe war schon immer ein Machtinstrument;https://www.jacobin.de/artikel/elon-musk-donald-trump-usaid-entwicklungshilfe
So wollen die Grünen AfD-Politikern die Grundrechte entziehen;https://jungefreiheit.de/politik/deutschland/2025/so-wollen-die-gruenen-afd-politikern-die-grundrechte-entziehen/
"Koalition will Wirtschaft mit ""Sofortprogramm"" stärken";https://www.tagesschau.de/inland/innenpolitik/union-spd-koalitionsausschuss-massnahmen-100.html
Treffsicherer Rechtsexperte;https://www.nd-aktuell.de/artikel/1191561.thomas-fischer-treffsicherer-rechtsexperte.html
Gericht stoppt Trump Zollpolitik;https://taz.de/US-Handelspolitik-unter-Donald-Trump/!6090884/
Vorhang auf! Das neue Berliner Theaterstück nimmt seinen Lauf;https://www.tichyseinblick.de/tichys-einblick/merz-kabinett-politikwende/
»Überall ansetzen, auch in der vermeintlichen Provinz«;https://www.jungewelt.de/artikel/500897.klassenkampf-im-hinterland-%C3%BCberall-ansetzen-auch-in-der-vermeintlichen-provinz.html
Nein, die Menschen in Deutschland arbeiten nicht zu wenig;https://www.jacobin.de/artikel/merz-wirtschaft-arbeit-gewerkschaften-agenda2010-arbeitszeit-teilzeit-klassenkampf
Die Bezahlkarte macht immer mehr Migranten zu „Flüchtlingen“;https://jungefreiheit.de/politik/deutschland/2025/die-bezahlkarte-macht-immer-mehr-migranten-zu-fluechtlingen/
Welche Prioritäten die Regierung setzen will;https://www.tagesschau.de/inland/innenpolitik/sofortprogramm-bundesregierung-102.html
Nur symbolisch wertvoll;https://taz.de/Klima-Urteil-des-OLG-Hamm/!6090901/
Arbeitszeit ist Lebenszeit!;https://www.nd-aktuell.de/artikel/1191562.arbeitszeitdebatte-arbeitszeit-ist-lebenszeit.html
»Wenn alle streiken, wäre es still an der Uni«;https://www.jungewelt.de/artikel/500863.prekarisierung-studentischer-arbeit-wenn-alle-streiken-w%C3%A4re-es-still-an-der-uni.html
Das AfD-Gutachten ist ein Blick in den Spiegel – man sieht die Demokratiefeindlichkeit der Verfasser;https://www.tichyseinblick.de/tichys-einblick/afd-gutachten-demokratiefeindlicheit-verfasser/
»Palästinenser in Israel sind die einzigen, die eine Brücke schlagen können«;https://www.jacobin.de/artikel/ilan-pappe-gaza-israel-palaestina-die-vergessenen-palaestinenser
Landwirtschaft in Westafrika: Nachwachsende Probleme;https://taz.de/Landwirtschaft-in-Westafrika/!6087174/
„Tichys Einblick“ – so kommt das gedruckte Magazin zu Ihnen;https://www.tichyseinblick.de/tichys-einblick/tichys-einblick-so-kommt-das-gedruckte-magazin-zu-ihnen/
Der Karl-Eduard von Schnitzler-Preis 2024 für Propaganda und Manipulation geht an: „Correctiv“;https://www.tichyseinblick.de/tichys-einblick/karl-eduard-von-schnitzler-preis-an-correctiv/
"Das große Gemetzel auf den Straßen wird jetzt zum Fall Friedrich Merz
";https://www.tichyseinblick.de/tichys-einblick/messer-opfer-merz-gewalt/